"what is your question?","Câu hỏi của bạn là gì?"
"Question","Gửi câu hỏi"
"Answers: (%s)","Trả lời: (%s)"
"View (%s)","Lượt xem: (%s)"
"Answer this question","Trả lời câu hỏi"
"No questions asked yet","Không có câu hỏi nào"
"From","Từ"
"Question by","Câu hỏi trong"
"At","Lúc"
"By Admin","Bởi quản trị"
"Enter your answer","Điền trả lời của bạn"
"Enter name","Tên của bạn"
"Enter email","Email"
"Submit Answer","Gửi trả lời"
"Question Created:","Được tạo:"
"Question Form","Gửi câu hỏi"
"Name (will be displayed on site)","Họ tên (sẽ được hiện thị trên site)"
"Email (will NOT be displayed on site)","Email (sẽ không hiển thị trên site)"
"Categories","Danh mục"
"Select","Lựa chọn"
"Submit question","Gửi câu hỏi"
"Enter your questions","Điền câu hỏi của bạn"
"All Categories","Danh mục"
"%s Questions","%s Câu hỏi"
"Your question has been accepted for moderation","Bạn đã gửi câu hỏi thành công"
"Unable to post question. Please, try again later.","Không thể gửi câu hỏi. Xin vui lòng thử lại sau."
"No answer","Chưa có câu trả lời"
